Brewer,Name,				Grainweight,Efficiency,OG,FG,Mash temperature,Attenuation,Yeast type,Remarks
HW,	Grande Mexican Lager,	6270,	77,71,13,65,79,WLP830,None
ES,	77 Porter,				6500,	75,NaN,NaN,67,69,M44,11th place in Ringnes Baltic porter competition
ES,	Vommolbrygg,			6100,	80,NaN,NaN,67,70,WLP833,None
ES,	Andrimne Dry Stout,		3700,	90,NaN,NaN,69,65,WLP001,None
AS,	Irish Red Fale,			5150,	84,NaN,NaN,65,50,M10,None
AS,	BlackHops mk2,			6130,	66,NaN,NaN,65,76,Nottingham,None  
ES,	Andrimne Christmas Ale,	5200,	74,NaN,NaN,65,74,WLP002,None
ES,	Guttetur Pale Ale,		4300,	78,NaN,NaN,65,77,WLP001,None
ES,	ABC Halvor IBA,			5970,	79,NaN,NaN,65,82,US05,None
ES,	Sommerol 14,			3960,	80,NaN,NaN,66,69,WLP810,None
ES,	Andrimne Dry Stout 2,	0,		0,NaN,NaN,64,76,US05,Andrimne Dry Stout
ES,	ABC Halvor IBA,			0,		0,NaN,NaN,65,82,US05,'ABC Halvor IBA'
ES,	Raatibrygg 9A,			0,		0,NaN,NaN,65,79,Nottingham,'Raattibrygg 9A'
ES,	Raatibrygg 9B,			0,		0,NaN,NaN,65,74,T58,'Raattibrygg 9B'
ES,	Brun Jul,				0,		0,NaN,NaN,64,69,T58,None
HW,	Electric Pale Ale,		5200,	75,54,11,67,79,US05,PH 5.11 in mash